시간,매도1호가,매도1호가수량,매수1호가,매수1호가수량,매도2호가,매도2호가수량,매수2호가,매수2호가수량,매도3호가,매도3호가수량,매수3호가,매수3호가수량,매도4호가,매도4호가수량,매수4호가,매수4호가수량,매도5호가,매도5호가수량,매수5호가,매수5호가수량,매도6호가,매도6호가수량,매수6호가,매수6호가수량,매도7호가,매도7호가수량,매수7호가,매수7호가수량,매도8호가,매도8호가수량,매수8호가,매수8호가수량,매도9호가,매도9호가수량,매수9호가,매수9호가수량,매도10호가,매도10호가수량,매수10호가,매수10호가수량
2024-07-23 09:19:53,696.0,867.0,693.0,2613.0,697.0,481.0,692.0,724.0,698.0,611.0,691.0,2140.0,699.0,221.0,690.0,8595.0,700.0,1.0,689.0,140.0,702.0,501.0,688.0,1190.0,704.0,1.0,687.0,1995.0,706.0,1001.0,686.0,6012.0,707.0,1791.0,685.0,5412.0,708.0,4002.0,684.0,1032.0
2024-07-23 09:19:54,696.0,867.0,693.0,2613.0,697.0,481.0,692.0,734.0,698.0,611.0,691.0,2140.0,699.0,221.0,690.0,8595.0,700.0,1.0,689.0,140.0,702.0,501.0,688.0,1190.0,704.0,1.0,687.0,1995.0,706.0,1001.0,686.0,6012.0,707.0,1791.0,685.0,5412.0,708.0,4002.0,684.0,1032.0
2024-07-23 09:19:55,696.0,867.0,693.0,2613.0,697.0,481.0,692.0,734.0,698.0,611.0,691.0,2140.0,699.0,221.0,690.0,8595.0,700.0,1.0,689.0,140.0,702.0,501.0,688.0,1190.0,704.0,1.0,687.0,1995.0,706.0,1001.0,686.0,6012.0,707.0,1791.0,685.0,5412.0,708.0,4002.0,684.0,1032.0
2024-07-23 09:19:56,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2613.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,1995.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:19:57,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2719.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,1995.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:19:58,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2719.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,1995.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:19:59,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2719.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,1995.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:00,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2719.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,1995.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:01,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2719.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,1995.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:02,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2245.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:03,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2245.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:04,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2245.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:05,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2245.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:06,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,734.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2245.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:07,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,1217.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2144.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:08,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,1217.0,699.0,221.0,691.0,2140.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2144.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:09,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,1217.0,699.0,221.0,691.0,2640.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2144.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:10,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,1217.0,699.0,221.0,691.0,2640.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2144.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
2024-07-23 09:20:11,696.0,867.0,694.0,100.0,697.0,481.0,693.0,2819.0,698.0,611.0,692.0,1217.0,699.0,221.0,691.0,2840.0,700.0,1.0,690.0,8595.0,702.0,501.0,689.0,140.0,704.0,1.0,688.0,1190.0,706.0,1001.0,687.0,2144.0,707.0,1791.0,686.0,6012.0,708.0,4002.0,685.0,5412.0
