시간,매도1호가,매도1호가수량,매수1호가,매수1호가수량,매도2호가,매도2호가수량,매수2호가,매수2호가수량,매도3호가,매도3호가수량,매수3호가,매수3호가수량,매도4호가,매도4호가수량,매수4호가,매수4호가수량,매도5호가,매도5호가수량,매수5호가,매수5호가수량,매도6호가,매도6호가수량,매수6호가,매수6호가수량,매도7호가,매도7호가수량,매수7호가,매수7호가수량,매도8호가,매도8호가수량,매수8호가,매수8호가수량,매도9호가,매도9호가수량,매수9호가,매수9호가수량,매도10호가,매도10호가수량,매수10호가,매수10호가수량
2024-07-24 11:27:00,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:01,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:02,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:03,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:04,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:05,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:06,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:07,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:08,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
2024-07-24 11:27:09,4540.0,1382.0,4520.0,1.0,4545.0,35.0,4510.0,41.0,4550.0,522.0,4505.0,20.0,4555.0,136.0,4500.0,442.0,4560.0,592.0,4495.0,531.0,4565.0,313.0,4490.0,308.0,4570.0,16.0,4485.0,160.0,4575.0,943.0,4480.0,344.0,4580.0,321.0,4475.0,923.0,4585.0,708.0,4470.0,2389.0
